"","idkey","year","state","state_abv","county_name","democrat_county_vote","republican_county_vote","other_county_vote","county_totalvotes","state_totalvotes","vep_turnout_rate","vap_turnout_rate","statecrime.population","statecrime.rates.property.all","statecrime.rates.property.burglary","statecrime.rates.property.larceny","statecrime.rates.property.motor","statecrime.rates.violent.all","statecrime.rates.violent.assault","statecrime.rates.violent.murder","statecrime.rates.violent.rape","statecrime.rates.violent.robbery","statecrime.totals.property.all","statecrime.totals.property.burglary","statecrime.totals.property.larceny","statecrime.totals.property.motor","statecrime.totals.violent.all","statecrime.totals.violent.assault","statecrime.totals.violent.murder","statecrime.totals.violent.rape","statecrime.totals.violent.robbery","redistrict_count","laborForce","employed","unemployed","unemploymentRate","polling_station"
"1","AL_Autauga",2000,"Alabama","AL","Autauga",4942,11993,273,17208,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,21861,20971,890,4.1,NA
"2","AL_Baldwin",2000,"Alabama","AL","Baldwin",13997,40872,1611,56480,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,69979,67370,2609,3.7,NA
"3","AL_Barbour",2000,"Alabama","AL","Barbour",5188,5096,111,10395,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,11449,10812,637,5.6,NA
"4","AL_Bibb",2000,"Alabama","AL","Bibb",2710,4273,118,7101,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,8623,8160,463,5.4,NA
"5","AL_Blount",2000,"Alabama","AL","Blount",4977,12667,329,17973,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,25266,24375,891,3.5,NA
"6","AL_Bullock",2000,"Alabama","AL","Bullock",3395,1433,76,4904,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,3997,3656,341,8.5,NA
"7","AL_Butler",2000,"Alabama","AL","Butler",3606,4127,70,7803,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,9221,8496,725,7.9,NA
"8","AL_Calhoun",2000,"Alabama","AL","Calhoun",15781,22306,822,38909,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,53244,50522,2722,5.1,NA
"9","AL_Chambers",2000,"Alabama","AL","Chambers",5616,6037,181,11834,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,17486,16709,777,4.4,NA
"10","AL_Cherokee",2000,"Alabama","AL","Cherokee",3497,4154,172,7823,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,11378,10862,516,4.5,NA
"11","AL_Chilton",2000,"Alabama","AL","Chilton",4806,10066,220,15092,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,19601,18752,849,4.3,NA
"12","AL_Choctaw",2000,"Alabama","AL","Choctaw",3707,3600,67,7374,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,6226,5815,411,6.6,NA
"13","AL_Clarke",2000,"Alabama","AL","Clarke",4679,5988,85,10752,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,11677,10814,863,7.4,NA
"14","AL_Clay",2000,"Alabama","AL","Clay",2045,3719,119,5883,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,6608,6199,409,6.2,NA
"15","AL_Cleburne",2000,"Alabama","AL","Cleburne",1664,3333,95,5092,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,7002,6715,287,4.1,NA
"16","AL_Coffee",2000,"Alabama","AL","Coffee",5220,9938,276,15434,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,20037,18861,1176,5.9,NA
"17","AL_Colbert",2000,"Alabama","AL","Colbert",10543,10518,471,21532,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,26124,24657,1467,5.6,NA
"18","AL_Conecuh",2000,"Alabama","AL","Conecuh",2783,2699,69,5551,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,5521,5158,363,6.6,NA
"19","AL_Coosa",2000,"Alabama","AL","Coosa",2104,2382,81,4567,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,5329,5038,291,5.5,NA
"20","AL_Covington",2000,"Alabama","AL","Covington",4440,8961,212,13613,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,17436,16221,1215,7,NA
"21","AL_Crenshaw",2000,"Alabama","AL","Crenshaw",1934,2793,68,4795,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,6155,5800,355,5.8,NA
"22","AL_Cullman",2000,"Alabama","AL","Cullman",9758,19157,610,29525,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,38898,37274,1624,4.2,NA
"23","AL_Dale",2000,"Alabama","AL","Dale",4906,10593,307,15806,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,20923,19820,1103,5.3,NA
"24","AL_Dallas",2000,"Alabama","AL","Dallas",10967,7360,137,18464,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,17948,16487,1461,8.1,NA
"25","AL_Dekalb",2000,"Alabama","AL","Dekalb",7056,12827,402,20285,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,32516,31194,1322,4.1,NA
"26","AL_Elmore",2000,"Alabama","AL","Elmore",6652,16777,375,23804,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,31195,29944,1251,4,NA
"27","AL_Escambia",2000,"Alabama","AL","Escambia",4523,6975,162,11660,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,16199,15348,851,5.3,NA
"28","AL_Etowah",2000,"Alabama","AL","Etowah",17433,21087,828,39348,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,48496,45652,2844,5.9,NA
"29","AL_Fayette",2000,"Alabama","AL","Fayette",3064,4582,162,7808,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,8332,7839,493,5.9,NA
