Document Distribution By Date
Distribution: Yearly
54881 documents  From All Dates

Date,Document Count
Start Date: 1 January 2000 End Date: 31 December 2000,452
Start Date: 1 January 2001 End Date: 31 December 2001,658
Start Date: 1 January 2002 End Date: 31 December 2002,723
Start Date: 1 January 2003 End Date: 31 December 2003,745
Start Date: 1 January 2004 End Date: 31 December 2004,816
Start Date: 1 January 2005 End Date: 31 December 2005,824
Start Date: 1 January 2006 End Date: 31 December 2006,1007
Start Date: 1 January 2007 End Date: 31 December 2007,627
Start Date: 1 January 2008 End Date: 31 December 2008,606
Start Date: 1 January 2009 End Date: 31 December 2009,621
Start Date: 1 January 2010 End Date: 31 December 2010,1291
Start Date: 1 January 2011 End Date: 31 December 2011,1892
Start Date: 1 January 2012 End Date: 31 December 2012,1370
Start Date: 1 January 2013 End Date: 31 December 2013,1709
Start Date: 1 January 2014 End Date: 31 December 2014,1608
Start Date: 1 January 2015 End Date: 31 December 2015,2021
Start Date: 1 January 2016 End Date: 31 December 2016,2337
Start Date: 1 January 2017 End Date: 31 December 2017,3334
Start Date: 1 January 2018 End Date: 31 December 2018,6033
Start Date: 1 January 2019 End Date: 31 December 2019,4512
Start Date: 1 January 2020 End Date: 31 December 2020,3142
Start Date: 1 January 2021 End Date: 31 December 2021,5352
Start Date: 1 January 2022 End Date: 31 December 2022,5875
Start Date: 1 January 2023 End Date: 31 December 2023,4531
Start Date: 1 January 2024 End Date: 31 December 2024,2795


Search Summary,
Text,gerrymandering
Date,01/01/2000 to 11/10/2024
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"55,984"
Timestamp,12 October 2024 12:21
"© 2024 Factiva, Inc.  All rights reserved."
