"year","state","state_abv","state_party_control","...1","democrat_county_vote","republican_county_vote","other_county_vote","county_totalvotes","state_totalvotes","vep","vap","statecrime.population","statecrime.rates.property.all","statecrime.rates.property.burglary","statecrime.rates.property.larceny","statecrime.rates.property.motor","statecrime.rates.violent.all","statecrime.rates.violent.assault","statecrime.rates.violent.murder","statecrime.rates.violent.rape","statecrime.rates.violent.robbery","statecrime.totals.property.all","statecrime.totals.property.burglary","statecrime.totals.property.larceny","statecrime.totals.property.motor","statecrime.totals.violent.all","statecrime.totals.violent.assault","statecrime.totals.violent.murder","statecrime.totals.violent.rape","statecrime.totals.violent.robbery"
2000,"Alabama","AL","NA",2278,695602,944409,32540,1672551,112060917,216594853,223416592,297955700,271999.9,60762.3000000001,191941.6,19296,32575.4,21252.4,495.799999999999,2231.1,8589.39999999999,12096113,2702177,8535733,858203,1448540,945169,22043,99294,382034
2000,"Alaska","AK","NA",3608,79004,167398,39128,285530,11706730,17147758,18052136,25704212,150982.5,25497.9,110117.8,15366.8,23242.9,16609.1,176.3,3251.3,3206.2,946567,159859,690358,96350,145714,104140,1107,20377,20090
2000,"Arizona","AZ","NA",1740,685341,781652,67120,1534113,23011695,50452650,57247470,76959480,79467,15174,51661.5,12631.5,7975.5,5215.5,105,460.5,2194.5,4077165,778530,2650575,648060,409215,267615,5385,23655,112560
2000,"Arkansas","AR","NA",12075,422768,472940,26073,921781,69133575,144071550,150133050,200505000,275250,60157.4999999999,195652.5,19447.5,33397.5,24930,472.500000000001,2377.5,5610.00000000001,7358625,1608225,5230500,519900,892800,666525,12600,63600,150075
2000,"California","CA","NA",13195,5861203,4567429,537224,10965856,636019648,1154870538,1442300616,1964555584,180855.6,38065.4,111621,31169.2,36052.8,23704.6,353.8,1676.2,10318.2,61258614,12892994,37807590,10558030,12210798,8028244,120582,567530,3494442
2000,"Colorado","CO","NA",18144,738227,883745,119393,1741365,109705995,189420273,204530823,270979443,229861.8,39740.4,165280.5,24840.9,21042,13803.3,195.3,2595.6,4441.5,9887031,1709379,7109109,1068543,905121,593775,8442,111762,191142
2000,"Connecticut","CT","NA",2916,816015,561094,82416,1459525,13135725,21251124,23177187,30650085,26172,4608,18102.6,3461.4,2922.3,1704.6,26.1,179.1,1012.5,891297,156924,616482,117891,99522,58050,882,6102,34488
2000,"Delaware","DE","NA",990,180068,137288,10173,327529,982587,1660662,1782768,2350800,11380.8,1996.8,8177.7,1206.3,2053.2,1347.6,9.6,162.3,533.7,89181,15648,64080,9453,16089,10560,75,1272,4182
2000,"District of columbia","DC","NA",332,171923,18073,11898,201894,201894,404098,458301,572059,5768.6,829.5,3785.4,1153.7,1507.9,801,41.8,43.9,621.3,33000,4745,21655,6600,8626,4582,239,251,3554
2000,"Florida","FL","NA",24522,2911417,2911215,138028,5960660,399364220,733822592,835850929,1070819326,327140.9,72480.6000000001,217274.3,37386,54404,37734.4,375.2,2961.4,13333,52285259,11584166,34725966,5975127,8695059,6030536,60501,472819,2131203
2000,"Georgia","GA","NA",76161,1116230,1419720,60854,2596804,412891836,874768233,967885788,1301646027,675177.600000002,133019.4,466983,75175.2000000002,80247.2999999998,49433.1000000001,1272,3816,25742.1000000001,55273170,10889592,38229960,6153618,6569721,4046550,103509,312912,2106750
2000,"Hawaii","HI","NA",2242,205242,137819,24810,367871,1471484,3375444,3694948,4846148,19820.4,3521.2,14280.8,2018.4,975.2,478.8,11.6,114.4,370.8,240132,42660,173016,24456,11816,5800,140,1384,4492
2000,"Idaho","ID","NA",25718,138637,336937,26047,501621,22071324,38517600,41159492,56933932,129082.8,24926,97064,7092.8,11110,8989.2,52.8,1306.8,756.8,1670284,322520,1255980,91784,143748,116336,704,16896,9812
2000,"Illinois","IL","NA",67065,2589026,2019421,133676,4742123,483696546,852970104,939308616,1266767886,365710.8,67228.1999999999,257203.2,41279.4,66687.6000000001,41667,734.400000000001,3223.19999999999,21063,45418356,8348700,31942422,5127234,8281992,5174562,91596,400452,2615382
2000,"Indiana","IN","NA",69414,901980,1245836,51489,2199305,202336060,405100380,416532116,559404620,313057.599999999,62201.1999999999,218950.8,31905.6,32117.1999999999,19421.2,533.6,2658.8,9503.6,19035260,3781936,13313044,1940280,1953160,1181004,32384,161828,577944
2000,"Iowa","IA","NA",84150,638517,634373,42673,1315563,130240737,210419352,217753371,289706076,293762.7,55281.6000000001,220294.8,18176.4,26373.6,20304.9,158.4,2286.9,3623.39999999999,8596566,1617858,6446682,532026,771804,594297,4554,66924,106029
2000,"Kansas","KS","NA",99960,399276,622332,50608,1072216,112582680,198910635,208312965,282283890,422037.000000001,83905.5,312753,25368,40887.0000000001,28245,661.5,3990,8000.99999999999,11345985,2255820,8408085,682080,1099350,759255,17745,107310,215040
2000,"Kentucky","KY","NA",127740,638898,872492,32797,1544187,185302440,358121400,367149840,485012280,319824.000000001,75143.9999999998,217152,27540,35340,21864,576,3240,9672.00000000002,12926760,3036960,8776920,1112880,1428360,883560,23160,130920,390720
2000,"Louisiana","LA","NA",74016,792344,927871,45441,1765656,113001984,200441920,208643840,286014464,303468.8,66291.2000000001,206713.6,30457.6,43590.4,29862.4,800,2144,10784,13561856,2962496,9238080,1361280,1948160,1334464,35840,95808,482048
2000,"Maine","ME","NA",20349,319951,286616,45250,651817,11080889,16398608,16648338,21673691,42673.4,9033.8,31876.7,1762.9,1863.2,1086.3,20.4,426.7,329.8,544051,115175,406402,22474,23749,13855,255,5440,4199
2000,"Maryland","MD","NA",29220,1145782,813797,65901,2025480,48611520,87360864,95333376,127115664,96708,17865.6,65896.8,12948,18878.4,11839.2,194.4,698.4,6144,5122128,946224,3490152,685752,999912,627120,10320,37032,325440
2000,"Massachusetts","MA","NA",17311,1616487,878502,207995,2702984,37841776,62731648,68186580,88887358,35700,6748,23247,5706.4,6665.4,4982.6,28,373.8,1282.4,2266614,428400,1475950,362264,423220,316316,1750,23744,81410
2000,"Michigan","MI","NA",106655,2170418,1953139,109154,4232711,351315013,587605057,611753492,824890852,295056.7,58282.5999999999,190227.7,46538.1,46065,29855.1,556.1,4199.8,11454,29323651,5792570,18905989,4625092,4578197,2967499,55527,417075,1138096
2000,"Minnesota","MN","NA",119190,1168266,1109659,160760,2438685,212165595,300954576,318594435,427994673,279061.2,46188.3000000001,209121.9,23751,24429.6,13632.9,269.7,3958.5,6568.5,13728426,2272092,10287750,1168584,1201731,670683,13137,194880,323031
2000,"Mississippi","MS","NA",119269,404964,573230,16732,994926,81583932,166189072,170302602,233261956,298767,77596.6000000001,201080.4,20090,29593.8,18130.2,738,2935.6,7790,8498808,2207276,5720156,571376,841894,515780,20910,83558,221646
2000,"Missouri","MO","NA",180206,1111138,1189924,58830,2359892,273747472,469574612,486048468,649044476,468373.200000001,86420,330750.799999999,51202.4000000001,56840,37572.4000000001,719.200000000001,2795.59999999999,15752.8,26206604,4835460,18506524,2864620,3180604,2102268,40252,156716,881368
2000,"Montana","MT","NA",91812,137126,240178,33682,410986,23015216,37345000,37859640,50522920,199858.4,24494.4,165592,11771.2,17421.6,14128.8,123.2,1909.6,1260,1803088,202944,1493968,106176,157192,127456,1120,17248,11368
2000,"Nebraska","NE","NA",159402,231780,433862,31377,697019,64822767,112373946,117784128,159147459,350414.7,55056,266937.9,28420.8,30466.8,21520.2,344.099999999999,2371.5,6231,5996547,942183,4567974,486390,521358,368280,5859,40548,106671
2000,"Nevada","NV","NA",30073,279978,301575,27417,608970,10352490,22495352,25894553,33970369,63654.8,14910.7,37539.4,11206.4,8911.4,4204.1,110.5,731,3864.1,1271991,297942,750125,223924,178058,84014,2193,14620,77231
2000,"New hampshire","NH","NA",17825,266348,273559,29174,569081,5690810,9066960,9341760,12357860,22578,4040,16800,1738,1754,947,18,422,367,279010,49920,207610,21480,21670,11700,220,5220,4530
2000,"New jersey","NJ","NA",37758,1788850,1284173,114203,3187226,66931746,116568711,133496034,176701350,58308.6,10962,38824.8,8523.9,8059.8,4267.2,71.4,338.1,3383.1,4906377,922404,3266802,717171,678258,359079,6069,28497,284613
2000,"New mexico","NM","NA",60225,286783,286417,25405,598605,19753965,40310358,43498257,60028518,157113,38712.3,105085.2,13318.8,25010.7,18559.2,244.2,1673.1,4534.2,2857965,704187,1911525,242253,454938,337590,4455,30426,82467
2000,"New york","NY","NA",116095,4107697,2403374,310928,6821999,422963938,768462720,889349576,1176540334,157833.4,28730.8,111376.8,17719.6,34341.8,19635.4,310,1153.2,13243.2,29950836,5452652,21135862,3362322,6516882,3725580,59024,218860,2513418
2000,"North carolina","NC","NA",195350,1257692,1631163,22407,2911262,291126200,577276700,614321400,804931300,442179.999999999,121610,289180,31390.0000000001,49759.9999999999,30700,700,2710,15650,35592100,9788800,23276700,2526600,4005100,2471500,56000,218100,1259500
2000,"North dakota","ND","NA",107590,95284,174852,18131,288267,15278151,25186501,25550134,34036600,116949.8,17272.7,91541.5999999999,8135.5,4314.2,2427.4,31.8,1393.9,461.1,751063,110929,587876,52258,27719,15582,212,8957,2968
2000,"Ohio","OH","NA",184844,2186190,2351209,168058,4705457,414080216,729410000,746887240,999076320,326277.6,68701.5999999999,227321.6,30245.6,29400.8,13666.4,325.599999999999,3308.8,12100,37042632,7799968,25808376,3434288,3338280,1551968,36784,375848,1373680
2000,"Oklahoma","OK","NA",168091,474276,744337,15616,1234229,95035633,188906564,197759408,265700358,312681.6,70647.5,214475.8,27550.6,38330.6,28913.5,408.100000000001,3172.4,5836.60000000001,10789625,2437897,7400932,950796,1322629,997766,14014,109494,201355
2000,"Oregon","OR","NA",80622,720342,713577,100049,1533968,55222848,87072156,93432744,123170364,161809.2,26956.8,120193.2,14659.2,12625.2,8161.2,72,1353.6,3038.4,5536080,922248,4112280,501552,432000,279216,2520,46296,103968
2000,"Pennsylvania","PA","NA",153497,2485967,2281127,145091,4912185,329116395,610590765,628134782,822830618,172545.1,29506.8,123226.4,19818.6,28140,16140.3,328.3,1768.8,9902.6,21190358,3623360,15133223,2433775,3456128,1981860,40334,217549,1216385
2000,"Rhode island","RI","NA",13965,249508,130555,29049,409112,2454672,4409004,4826502,6289914,19072.2,3789,12613.2,2670,1786.2,997.2,25.8,235.8,528,199938,39720,132228,27990,18726,10452,270,2472,5532
